FID,the_geom,DELEGACION,MUNICIPIO,LOCALIDAD,DOM_UPP,NOM_UPP,SIST_TEC,SIST_SEMI,POLLO_ENG,HUEVO_PLA,CAP_INST,CAP_UTIL,NUM_NAVES,SUP_MT,VALIDADO,ESTATUS,PROD_LECH,ENGORDA,CICLO_COM,CAB_VIENT,CAB_LECH,CAB_CREC,CAB_FIN,CAB_SEM,TOTAL_ANIM,RAZA_PRINC,TIPO,FECHA,class
granjas_peninsula.191,POINT (-88.17427100012942 21.263182999557092),Yucatán,Tizimín,Tizimín,Conocido (KM. 15 carretera Tizimin - Rio Lagartos),El Parral,X,,,,3000,67,25,10448,,Activo,,0,X,500,0,600,900,8,2008,Yorkshire,Granjas porcinas,2005,2
granjas_peninsula.192,POINT (-88.2750210002487 21.1380799999105),Yucatán,Sucilá,Sucilá,Conocido (carretera Mérida - Tizimin KM. 145.),San Carlos,X,,,,1200,67,1,31266,,Activo,,0,X,200,0,240,360,8,808,Yorkshire,Granjas porcinas,2005,3
granjas_peninsula.193,POINT (-88.04568600039299 20.77385599965594),Yucatán,Valladolid,Valladolid,"Conocido (KM. 7 a Yalkoba, Valladolid, Yucatán)",Porcicultura Mexicana,X,,,,1700,43,1,37903,,Activo,,0,X,180,0,216,324,10,730,Hibrida,Granjas porcinas,2005,3
granjas_peninsula.194,POINT (-89.1668130003559 20.432060999722296),Yucatán,Cantamayec,Cantamayec,Conocido (KM 16 Teabo - Cholul),Mayapan,X,,,,6000,100,28,285892,,Activo,X,0,,6000,0,0,0,0,6000,Pic,Granjas porcinas,2000,3
granjas_peninsula.195,POINT (-88.96177200012528 20.5627219997936),Yucatán,Sotuta,Sotuta,Conocido (KM 5.5 Sotuta - Yaxcaba),Picaras 5,X,,,,6000,100,28,766917,,Activo,X,0,,6000,0,0,0,0,6000,Pic,Granjas porcinas,2000,3
granjas_peninsula.196,POINT (-88.9447689996283 20.56305399962819),Yucatán,Sotuta,Sotuta,Conocido (KM 5.5 Sotuta - Yaxcaba),Picaras 6,X,,,,6000,100,28,357133,,Activo,,0,,6000,0,0,0,0,6000,Pic,Granjas porcinas,2000,3
granjas_peninsula.197,POINT (-89.89725732648903 20.919805381196415),Yucatán,Samahil,,,,,,,,,,12,,,,,,,,,,,,,,Granjas avicolas,2000,3
granjas_peninsula.198,POINT (-89.94032508429048 21.036253881073193),Yucatán,Hunucmá,,,,,,,,,,11,,,,,,,,,,,,,,Granjas porcinas,2000,3
granjas_peninsula.199,POINT (-89.94210672582244 21.085365325315866),Yucatán,Hunucmá,,,,,,,,,,1,,,,,,,,,,,,,,Granjas avicolas,2015,3
granjas_peninsula.200,POINT (-89.96160770569243 20.912049572275546),Yucatán,Kinchil,,,,,,,,,,12,,,,,,,,,,,,,,Granjas avicolas,2000,3
granjas_peninsula.201,POINT (-89.5289172667827 21.023796863978724),Yucatán,Mérida,,,,,,,,,,18,,,,,,,,,,,,,,Granjas avicolas,2005,2
granjas_peninsula.202,POINT (-89.60529473081401 20.66255607909465),Yucatán,Abalá,,,,,,,,,,6,,,,,,,,,,,,,,Granjas porcinas,2000,3
granjas_peninsula.203,POINT (-89.62021542917692 20.686393141024787),Yucatán,Abalá,,,,,,,,,,5,,,,,,,,,,,,,,Granjas porcinas,2000,3
granjas_peninsula.204,POINT (-89.63731792777216 20.685866395569377),Yucatán,Abalá,,,,,,,,,,6,,,,,,,,,,,,,,Granjas porcinas,2000,3
granjas_peninsula.205,POINT (-89.67782199337526 20.67793207097268),Yucatán,Abalá,,,,,,,,,,6,,,,,,,,,,,,,,Granjas porcinas,2000,3
granjas_peninsula.206,POINT (-89.67074873778341 20.69472206045622),Yucatán,Abalá,,,,,,,,,,6,,,,,,,,,,,,,,Granjas porcinas,2000,3
granjas_peninsula.207,POINT (-89.693798401528 20.69409658436485),Yucatán,Abalá,,,,,,,,,,6,,,,,,,,,,,,,,Granjas porcinas,2000,3
granjas_peninsula.208,POINT (-89.84800307068156 20.752882935830332),Yucatán,Chocholá,,,,,,,,,,12,,,,,,,,,,,,,,Granjas avicolas,2000,3
granjas_peninsula.209,POINT (-89.81761556471183 20.752123189005992),Yucatán,Chocholá,,,,,,,,,,3,,,,,,,,,,,,,,Granjas avicolas,2000,3
granjas_peninsula.210,POINT (-89.99002380899742 20.90090687133614),Yucatán,Kinchil,,,,,,,,,,5,,,,,,,,,,,,,,Granjas porcinas,2000,3
granjas_peninsula.211,POINT (-89.98428987504639 20.903671853328532),Yucatán,Kinchil,,,,,,,,,,5,,,,,,,,,,,,,,Granjas porcinas,2000,3
granjas_peninsula.212,POINT (-89.21215720266302 20.82367950551373),Yucatán,Hocabá,,,,,,,,,,2,,,,,,,,,,,,,,Granjas avicolas,2000,3
granjas_peninsula.213,POINT (-89.22194011338212 20.823087454591764),Yucatán,Hocabá,,,,,,,,,,8,,,,,,,,,,,,,,Granjas porcinas,2000,3
granjas_peninsula.214,POINT (-89.44646319293415 20.827248207618197),Yucatán,Acanceh,,,,,,,,,,28,,,,,,,,,,,,,,Granjas avicolas,2000,2
granjas_peninsula.215,POINT (-89.51604326566613 20.81981468668377),Yucatán,Timucuy,,,,,,,,,,4,,,,,,,,,,,,,,Granjas avicolas,2005,3
granjas_peninsula.216,POINT (-89.47252880770692 21.087852640780937),Yucatán,Conkal,,,,,,,,,,6,,,,,,,,,,,,,,Granjas avicolas,2000,3
granjas_peninsula.217,POINT (-89.47597703682658 21.09273922234244),Yucatán,Conkal,,,,,,,,,,5,,,,,,,,,,,,,,Granjas avicolas,2000,3
granjas_peninsula.218,POINT (-89.47112281410884 21.11609688072711),Yucatán,Mocochá,,,,,,,,,,15,,,,,,,,,,,,,,Granjas avicolas,2010,2
granjas_peninsula.219,POINT (-89.47935735046954 21.119182622255252),Yucatán,Mocochá,,,,,,,,,,12,,,,,,,,,,,,,,Granjas avicolas,2005,3
granjas_peninsula.220,POINT (-89.47738669219517 21.11104137824472),Yucatán,Mocochá,,,,,,,,,,15,,,,,,,,,,,,,,Granjas avicolas,2010,2
granjas_peninsula.221,POINT (-89.39767120799381 21.08511773731016),Yucatán,Baca,,,,,,,,,,5,,,,,,,,,,,,,,Granjas avicolas,2000,3
granjas_peninsula.222,POINT (-89.39768840909832 21.08676593995601),Yucatán,Baca,,,,,,,,,,5,,,,,,,,,,,,,,Granjas avicolas,2000,3
granjas_peninsula.223,POINT (-89.39778274855627 21.08943752098534),Yucatán,Baca,,,,,,,,,,6,,,,,,,,,,,,,,Granjas avicolas,2000,3
granjas_peninsula.224,POINT (-89.26974718777872 20.871684169980906),Yucatán,Tahmek,,,,,,,,,,4,,,,,,,,,,,,,,Granjas avicolas,2000,3
granjas_peninsula.225,POINT (-89.23734841451997 20.86807765157809),Yucatán,Hoctún,,,,,,,,,,8,,,,,,,,,,,,,,Granjas avicolas,2000,3
granjas_peninsula.226,POINT (-89.35714337952898 20.47353758393563),Yucatán,Mama,,,,,,,,,,10,,,,,,,,,,,,,,Granjas porcinas,2000,3
granjas_peninsula.227,POINT (-89.3112156344189 20.72370514449077),Yucatán,Cuzama,,,,,,,,,,8,,,,,,,,,,,,,,Granjas avicolas,2000,3
granjas_peninsula.228,POINT (-89.69319684074098 21.096909209591725),Yucatán,Mérida,,,,,,,,,,15,,,,,,,,,,,,,,Granjas avicolas,2000,2
granjas_peninsula.229,POINT (-89.4208793062614 20.941904513845863),Yucatán,Tixpéhual,,,,,,,,,,8,,,,,,,,,,,,,,Granjas porcinas,2000,3
granjas_peninsula.230,POINT (-89.91282367118154 20.885668017401866),Yucatán,Samahil,,,,,,,,,,3,,,,,,,,,,,,,,Granjas avicolas,2015,3
granjas_peninsula.231,POINT (-89.90825131122031 20.885926921846075),Yucatán,Samahil,,,,,,,,,,6,,,,,,,,,,,,,,Granjas avicolas,2015,3
granjas_peninsula.232,POINT (-89.78115621489003 20.879030306692673),Yucatán,Umán,,,,,,,,,,4,,,,,,,,,,,,,,Granjas porcinas,2000,3
granjas_peninsula.233,POINT (-89.79214107947745 20.8790010742276),Yucatán,Umán,,,,,,,,,,3,,,,,,,,,,,,,,Granjas avicolas,2000,3
granjas_peninsula.234,POINT (-90.3687107520445 19.724721901411243),Campeche,Campeche,,,,,,,,,,3,,,,,,,,,,,,,,Granjas avicolas,2005,3
granjas_peninsula.235,POINT (-90.37606103290749 19.70461005304078),Campeche,Campeche,,,,,,,,,,5,,,,,,,,,,,,,,Granjas avicolas,2010,3
granjas_peninsula.236,POINT (-90.44425061748704 19.63116876383023),Campeche,Campeche,,,,,,,,,,5,,,,,,,,,,,,,,Granjas avicolas,2015,3
granjas_peninsula.237,POINT (-89.35295171774048 20.59421616444573),Yucatán,Tekit,,,,,,,,,,8,,,,,,,,,,,,,,Granjas avicolas,2005,3
granjas_peninsula.238,POINT (-90.08392670789699 20.876471382710726),Yucatán,Kinchil,,,,,,,,,,3,,,,,,,,,,,,,,Granjas avicolas,2000,3
granjas_peninsula.239,POINT (-90.13674510187947 20.826403226541245),Yucatán,Maxcanú,,,,,,,,,,8,,,,,,,,,,,,,,Granjas avicolas,2015,3
granjas_peninsula.240,POINT (-89.70133907714586 21.115789804756833),Yucatán,Mérida,,,,,,,,,,4,,,,,,,,,,,,,,Granjas avicolas,2000,3
granjas_peninsula.241,POINT (-89.70502996804818 21.112013493603797),Yucatán,Mérida,,,,,,,,,,4,,,,,,,,,,,,,,Granjas avicolas,2000,3
granjas_peninsula.243,POINT (-89.73675972370843 21.12434168349448),Yucatán,Mérida,,,,,,,,,,4,,,,,,,,,,,,,,Granjas avicolas,2000,3
granjas_peninsula.244,POINT (-89.50659082398431 20.834978227071165),Yucatán,Acanceh,,,,,,,,,,8,,,,,,,,,,,,,,Granjas porcinas,2000,3
granjas_peninsula.245,POINT (-87.57185590805373 20.877821246552728),Quintana Roo,Lázaro Cárdenas,,,,,,,,,,10,,,,,,,,,,,,,,Granjas avicolas,2000,3
granjas_peninsula.246,POINT (-89.29482403432097 20.87204357835397),Yucatán,Tahmek,,,,,,,,,,8,,,,,,,,,,,,,,Granjas porcinas,2000,3
granjas_peninsula.247,POINT (-89.77541784589924 20.57325254366042),Yucatán,Opichén,,,,,,,,,,40,,,,,,,,,,,,,,Granjas porcinas,2000,1
granjas_peninsula.248,POINT (-89.83113010752758 20.537447460189266),Yucatán,Opichén,,,,,,,,,,40,,,,,,,,,,,,,,Granjas porcinas,2000,1
